City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,new kingston,18.0075,-76.7832,29.33,74,20,8.23,JM,1721526013
225,stepnogorsk,52.3544,71.8869,16.48,90,100,6.22,KZ,1721526014
226,puerto rosario,-24.45,-57.0833,20.65,52,3,2.81,PY,1721526016
227,nagqu,31.5,92.0,9.36,84,100,0.44,CN,1721526017
228,colesberg,-30.72,25.0972,1.97,46,16,0.85,ZA,1721526018
229,qianjiang,30.4151,112.8859,31.9,76,7,6.75,CN,1721526019
230,port alfred,-33.5906,26.891,11.21,78,62,2.24,ZA,1721526020
231,hounde,11.5,-3.5167,25.48,79,100,3.94,BF,1721526021
232,conde,-7.2597,-34.9075,20.7,100,75,3.6,BR,1721526022
233,tsetserleg,47.475,101.4542,13.81,72,100,6.74,MN,1721526024
234,puttalam,8.0362,79.8283,27.69,81,100,7.93,LK,1721526025
235,lebu,-37.6167,-73.65,7.17,83,1,7.82,CL,1721526026
236,moron,-34.6534,-58.6198,11.67,93,100,8.94,AR,1721526027
237,port saint john's,-31.6229,29.5448,15.38,67,59,3.38,ZA,1721526030
238,vorgashor,67.5833,63.95,9.26,54,6,2.77,RU,1721526031
239,macia,-25.0269,33.0989,17.54,98,9,2.3,MZ,1721526032
240,timimoun,29.2639,0.231,36.21,14,0,5.14,DZ,1721526033
241,mount gambier,-37.8333,140.7667,13.3,91,78,5.46,AU,1721526034
242,labytnangi,66.6572,66.4183,10.5,58,3,1.54,RU,1721526035
243,keflavik,64.0049,-22.5624,10.95,93,0,4.12,IS,1721526036
244,kigoma,-4.8769,29.6267,23.97,60,10,1.32,TZ,1721526039
245,borzya,50.3833,116.5167,28.8,36,53,3.47,RU,1721526040
246,lompoc,34.6391,-120.4579,19.91,82,75,5.66,US,1721526041
247,cornwall,45.0181,-74.7281,21.58,86,51,2.87,CA,1721526042
248,huambo,-12.7761,15.7392,14.89,31,0,0.51,AO,1721526043
249,banff,51.1762,-115.5698,29.21,30,0,4.63,CA,1721525943
250,eyl,7.9803,49.8164,25.64,60,92,10.34,SO,1721526046
251,stornoway,58.2093,-6.3865,10.98,93,75,3.09,GB,1721526047
252,acatlan de osorio,18.2,-98.05,23.39,64,47,2.47,MX,1721526048
253,alofi,-19.0595,-169.9187,27.94,61,20,3.6,NU,1721526049
254,mont-dore,-22.2833,166.5833,24.99,99,1,5.07,NC,1721526050
255,victoria,22.2855,114.1577,32.36,77,57,5.81,HK,1721526052
256,northam,51.0333,-4.2167,16.48,97,99,5.15,GB,1721526053
257,senanga,-16.1167,23.2667,12.15,29,1,1.7,ZM,1721526054
258,atar,20.5169,-13.0499,34.03,26,97,3.53,MR,1721526055
259,happy valley-goose bay,53.3168,-60.3315,16.17,77,100,3.09,CA,1721526056
260,iskateley,67.6803,53.1512,8.64,65,9,1.12,RU,1721526059
261,san antonio de pale,-1.4014,5.6325,22.65,71,70,3.13,GQ,1721526060
262,gisborne,-38.6533,178.0042,15.63,66,52,5.44,NZ,1721526061
263,kaiapoi,-43.3783,172.6401,11.57,80,100,5.66,NZ,1721526062
264,iquique,-20.2208,-70.1431,16.02,85,54,1.72,CL,1721526063
265,vodnyy,63.5046,53.4095,10.92,72,0,2.52,RU,1721526066
266,colonia,50.9333,6.95,21.59,88,0,1.54,DE,1721526067
267,hami,42.8,93.45,30.85,22,0,1.31,CN,1721526068
268,tazacorte,28.629,-17.9293,22.54,78,0,6.69,ES,1721526069
269,grand falls-windsor,48.9332,-55.6649,17.44,82,5,2.77,CA,1721526070
270,ilabaya,-17.4208,-70.5133,14.81,58,0,0.81,PE,1721526071
271,pacific grove,36.6177,-121.9166,22.03,84,100,5.66,US,1721526072
272,jamestown,42.097,-79.2353,19.8,68,0,3.09,US,1721525838
273,hohhot,40.8106,111.6522,29.16,51,20,1.0,CN,1721526075
274,holualoa,19.6228,-155.9522,27.53,78,0,5.14,US,1721526076
275,borogontsy,62.6683,131.1683,24.7,57,94,2.24,RU,1721526077
276,kill devil hills,36.0307,-75.676,28.32,88,0,6.17,US,1721526078
277,lamu,-2.2717,40.902,24.42,75,100,6.25,KE,1721526079
278,princesa isabel,-7.7367,-37.9933,16.43,83,8,4.34,BR,1721526080
279,buulobarde,3.8538,45.5674,23.36,83,97,5.77,SO,1721526082
280,tual,-5.6667,132.75,24.84,85,95,11.65,ID,1721526083
281,usogorsk,63.4106,48.6872,11.01,64,4,2.8,RU,1721526084
282,redcliff,-19.0333,29.7833,11.14,25,0,2.48,ZW,1721526085
283,remire-montjoly,4.9167,-52.2667,26.02,94,0,0.51,GF,1721526086
284,el calafate,-50.3408,-72.2768,1.01,74,92,2.04,AR,1721526087
285,punta del este,-34.9667,-54.95,11.09,95,100,4.92,UY,1721526089
286,tokar,18.4254,37.729,33.0,39,100,12.76,SD,1721526090
287,newman,37.3138,-121.0208,39.13,36,0,2.24,US,1721526091
288,constantia,44.1833,28.65,23.38,63,0,0.73,RO,1721526092
289,berbera,10.4396,45.0143,32.17,42,52,10.26,SO,1721526097
290,la passe,45.5549,-0.8967,19.13,88,77,6.76,FR,1721526098
291,moranbah,-22.0016,148.0466,19.37,27,0,5.92,AU,1721526100
292,rabo de peixe,37.8,-25.5833,20.73,83,20,0.51,PT,1721526102
293,saint-jean-de-monts,46.7833,-2.0667,18.82,87,6,2.45,FR,1721526103
294,labrador city,52.9463,-66.9114,11.95,58,75,2.57,CA,1721526104
295,lihue,21.9789,-159.3672,28.77,61,40,4.63,US,1721525829
296,sola,-13.8833,167.55,26.82,77,6,5.3,VU,1721526106
297,mocimboa,-11.3167,40.35,19.41,82,57,2.19,MZ,1721526107
298,kenai,60.5544,-151.2583,23.34,56,0,2.57,US,1721526110
299,harper,4.375,-7.7169,24.13,84,100,4.95,LR,1721526111
300,hoi an,15.8794,108.335,26.98,75,98,2.82,VN,1721526112
301,ta`u,-14.2336,-169.5144,26.52,73,41,9.11,AS,1721526113
302,flin flon,54.7682,-101.865,25.09,66,58,4.21,CA,1721526114
303,mangrol,21.1167,70.1167,28.28,87,100,5.05,IN,1721526116
304,pamandzi,-12.7967,45.2794,19.88,83,0,1.03,YT,1721526117
305,carutapera,-1.195,-46.02,24.98,85,73,2.24,BR,1721526118
306,dhidhdhoo,6.8833,73.1,28.04,80,100,5.66,MV,1721526119
307,nishinoomote,30.7333,131.0,31.31,74,75,1.54,JP,1721526120
308,preobrazheniye,42.9019,133.9064,21.18,99,100,0.53,RU,1721526121
309,san isidro,-12.1167,-77.05,16.12,80,0,6.69,PE,1721526122
310,shevchenko,48.5,35.0,20.37,47,61,1.96,UA,1721526124
311,weno,7.4515,151.8468,31.97,84,75,3.6,FM,1721526125
